event_id,node_id,category,title,description,day_min,choices,possible_effects
W01_EVT_011,W01_N18,森林,野果·1,发现一片颜色鲜艳的野果。 这一次发生在「红树林」，环境和你之前见过的情况略有不同。,12,直接食用 / 采集带走 / 观察叶片判断 / 离开,食物；中毒可能；知识
W01_EVT_012,W01_N26,森林,野果·2,发现一片颜色鲜艳的野果。 这一次发生在「巨石阵地」，环境和你之前见过的情况略有不同。,2,直接食用 / 采集带走 / 观察叶片判断 / 离开,食物；中毒可能；知识
W01_EVT_013,W01_N34,森林,野果·3,发现一片颜色鲜艳的野果。 这一次发生在「地下通道入口」，环境和你之前见过的情况略有不同。,4,直接食用 / 采集带走 / 观察叶片判断 / 离开,食物；中毒可能；知识
W01_EVT_014,W01_N42,森林,野果·4,发现一片颜色鲜艳的野果。 这一次发生在「蛇谷」，环境和你之前见过的情况略有不同。,6,直接食用 / 采集带走 / 观察叶片判断 / 离开,食物；中毒可能；知识
W01_EVT_015,W01_N50,森林,野果·5,发现一片颜色鲜艳的野果。 这一次发生在「漂流箱聚集湾」，环境和你之前见过的情况略有不同。,8,直接食用 / 采集带走 / 观察叶片判断 / 离开,食物；中毒可能；知识
W01_EVT_016,W01_N58,森林,野果·6,发现一片颜色鲜艳的野果。 这一次发生在「海流观察点」，环境和你之前见过的情况略有不同。,10,直接食用 / 采集带走 / 观察叶片判断 / 离开,食物；中毒可能；知识
W01_EVT_017,W01_N06,森林,野果·7,发现一片颜色鲜艳的野果。 这一次发生在「潮汐洞口」，环境和你之前见过的情况略有不同。,12,直接食用 / 采集带走 / 观察叶片判断 / 离开,食物；中毒可能；知识
W01_EVT_018,W01_N14,森林,野果·8,发现一片颜色鲜艳的野果。 这一次发生在「旧信号石堆」，环境和你之前见过的情况略有不同。,2,直接食用 / 采集带走 / 观察叶片判断 / 离开,食物；中毒可能；知识
W01_EVT_019,W01_N22,森林,野果·9,发现一片颜色鲜艳的野果。 这一次发生在「地下湖」，环境和你之前见过的情况略有不同。,4,直接食用 / 采集带走 / 观察叶片判断 / 离开,食物；中毒可能；知识
W01_EVT_020,W01_N30,森林,野果·10,发现一片颜色鲜艳的野果。 这一次发生在「废弃研究站外门」，环境和你之前见过的情况略有不同。,6,直接食用 / 采集带走 / 观察叶片判断 / 离开,食物；中毒可能；知识
W01_EVT_021,W01_N28,森林,脚印·1,泥地上出现不属于你的脚印。 这一次发生在「旧木屋」，环境和你之前见过的情况略有不同。,10,追踪 / 标记位置 / 返回营地,NPC/秘密；体力消耗；Flag
W01_EVT_022,W01_N36,森林,脚印·2,泥地上出现不属于你的脚印。 这一次发生在「旧码头」，环境和你之前见过的情况略有不同。,12,追踪 / 标记位置 / 返回营地,NPC/秘密；体力消耗；Flag
W01_EVT_023,W01_N44,森林,脚印·3,泥地上出现不属于你的脚印。 这一次发生在「石滩墓地」，环境和你之前见过的情况略有不同。,2,追踪 / 标记位置 / 返回营地,NPC/秘密；体力消耗；Flag
W01_EVT_024,W01_N52,森林,脚印·4,泥地上出现不属于你的脚印。 这一次发生在「废弃捕猎坑」，环境和你之前见过的情况略有不同。,4,追踪 / 标记位置 / 返回营地,NPC/秘密；体力消耗；Flag
W01_EVT_025,W01_N60,森林,脚印·5,泥地上出现不属于你的脚印。 这一次发生在「无灯灯塔」，环境和你之前见过的情况略有不同。,6,追踪 / 标记位置 / 返回营地,NPC/秘密；体力消耗；Flag
W01_EVT_026,W01_N08,森林,脚印·6,泥地上出现不属于你的脚印。 这一次发生在「干涸溪床」，环境和你之前见过的情况略有不同。,8,追踪 / 标记位置 / 返回营地,NPC/秘密；体力消耗；Flag
W01_EVT_027,W01_N16,森林,脚印·7,泥地上出现不属于你的脚印。 这一次发生在「沉船外滩」，环境和你之前见过的情况略有不同。,10,追踪 / 标记位置 / 返回营地,NPC/秘密；体力消耗；Flag
W01_EVT_028,W01_N24,森林,脚印·8,泥地上出现不属于你的脚印。 这一次发生在「山顶平台」，环境和你之前见过的情况略有不同。,12,追踪 / 标记位置 / 返回营地,NPC/秘密；体力消耗；Flag
W01_EVT_029,W01_N32,森林,脚印·9,泥地上出现不属于你的脚印。 这一次发生在「研究站实验室」，环境和你之前见过的情况略有不同。,2,追踪 / 标记位置 / 返回营地,NPC/秘密；体力消耗；Flag
W01_EVT_030,W01_N40,森林,脚印·10,泥地上出现不属于你的脚印。 这一次发生在「东部礁湖」，环境和你之前见过的情况略有不同。,4,追踪 / 标记位置 / 返回营地,NPC/秘密；体力消耗；Flag
W01_EVT_031,W01_N38,淡水,河水异常·1,水面漂着不明油膜。 这一次发生在「燃料储藏棚」，环境和你之前见过的情况略有不同。,8,取水 / 沿上游调查 / 放弃这个水源,污染；线索；路线变化
W01_EVT_032,W01_N46,淡水,河水异常·2,水面漂着不明油膜。 这一次发生在「临时救援标记」，环境和你之前见过的情况略有不同。,10,取水 / 沿上游调查 / 放弃这个水源,污染；线索；路线变化
W01_EVT_033,W01_N54,淡水,河水异常·3,水面漂着不明油膜。 这一次发生在「石门遗迹」，环境和你之前见过的情况略有不同。,12,取水 / 沿上游调查 / 放弃这个水源,污染；线索；路线变化
W01_EVT_034,W01_N02,淡水,河水异常·4,水面漂着不明油膜。 这一次发生在「浅滩」，环境和你之前见过的情况略有不同。,2,取水 / 沿上游调查 / 放弃这个水源,污染；线索；路线变化
W01_EVT_035,W01_N10,淡水,河水异常·5,水面漂着不明油膜。 这一次发生在「瀑布潭」，环境和你之前见过的情况略有不同。,4,取水 / 沿上游调查 / 放弃这个水源,污染；线索；路线变化
W01_EVT_036,W01_N18,淡水,河水异常·6,水面漂着不明油膜。 这一次发生在「红树林」，环境和你之前见过的情况略有不同。,6,取水 / 沿上游调查 / 放弃这个水源,污染；线索；路线变化
W01_EVT_037,W01_N26,淡水,河水异常·7,水面漂着不明油膜。 这一次发生在「巨石阵地」，环境和你之前见过的情况略有不同。,8,取水 / 沿上游调查 / 放弃这个水源,污染；线索；路线变化
W01_EVT_038,W01_N34,淡水,河水异常·8,水面漂着不明油膜。 这一次发生在「地下通道入口」，环境和你之前见过的情况略有不同。,10,取水 / 沿上游调查 / 放弃这个水源,污染；线索；路线变化
W01_EVT_039,W01_N42,淡水,河水异常·9,水面漂着不明油膜。 这一次发生在「蛇谷」，环境和你之前见过的情况略有不同。,12,取水 / 沿上游调查 / 放弃这个水源,污染；线索；路线变化
W01_EVT_040,W01_N50,淡水,河水异常·10,水面漂着不明油膜。 这一次发生在「漂流箱聚集湾」，环境和你之前见过的情况略有不同。,2,取水 / 沿上游调查 / 放弃这个水源,污染；线索；路线变化
W01_EVT_041,W01_N48,洞穴,黑暗岔路·1,火光前方出现两条通道。 这一次发生在「旧观测哨」，环境和你之前见过的情况略有不同。,6,左侧潮湿通道 / 右侧狭窄通道 / 原路返回,资源；秘密；风险
W01_EVT_042,W01_N56,洞穴,黑暗岔路·2,火光前方出现两条通道。 这一次发生在「紧急天线阵列」，环境和你之前见过的情况略有不同。,8,左侧潮湿通道 / 右侧狭窄通道 / 原路返回,资源；秘密；风险
W01_EVT_043,W01_N04,洞穴,黑暗岔路·3,火光前方出现两条通道。 这一次发生在「飞机尾翼区」，环境和你之前见过的情况略有不同。,10,左侧潮湿通道 / 右侧狭窄通道 / 原路返回,资源；秘密；风险
W01_EVT_044,W01_N12,洞穴,黑暗岔路·4,火光前方出现两条通道。 这一次发生在「断桥谷地」，环境和你之前见过的情况略有不同。,12,左侧潮湿通道 / 右侧狭窄通道 / 原路返回,资源；秘密；风险
W01_EVT_045,W01_N20,洞穴,黑暗岔路·5,火光前方出现两条通道。 这一次发生在「石灰岩洞」，环境和你之前见过的情况略有不同。,2,左侧潮湿通道 / 右侧狭窄通道 / 原路返回,资源；秘密；风险
W01_EVT_046,W01_N28,洞穴,黑暗岔路·6,火光前方出现两条通道。 这一次发生在「旧木屋」，环境和你之前见过的情况略有不同。,4,左侧潮湿通道 / 右侧狭窄通道 / 原路返回,资源；秘密；风险
W01_EVT_047,W01_N36,洞穴,黑暗岔路·7,火光前方出现两条通道。 这一次发生在「旧码头」，环境和你之前见过的情况略有不同。,6,左侧潮湿通道 / 右侧狭窄通道 / 原路返回,资源；秘密；风险
W01_EVT_048,W01_N44,洞穴,黑暗岔路·8,火光前方出现两条通道。 这一次发生在「石滩墓地」，环境和你之前见过的情况略有不同。,8,左侧潮湿通道 / 右侧狭窄通道 / 原路返回,资源；秘密；风险
W01_EVT_049,W01_N52,洞穴,黑暗岔路·9,火光前方出现两条通道。 这一次发生在「废弃捕猎坑」，环境和你之前见过的情况略有不同。,10,左侧潮湿通道 / 右侧狭窄通道 / 原路返回,资源；秘密；风险
W01_EVT_050,W01_N60,洞穴,黑暗岔路·10,火光前方出现两条通道。 这一次发生在「无灯灯塔」，环境和你之前见过的情况略有不同。,12,左侧潮湿通道 / 右侧狭窄通道 / 原路返回,资源；秘密；风险
W01_EVT_051,W01_N58,山地,远处烟柱·1,高处看到远方短暂烟柱。 这一次发生在「海流观察点」，环境和你之前见过的情况略有不同。,4,立刻前往 / 记录方向 / 继续当前目标,NPC；新节点；可能错过
W01_EVT_052,W01_N06,山地,远处烟柱·2,高处看到远方短暂烟柱。 这一次发生在「潮汐洞口」，环境和你之前见过的情况略有不同。,6,立刻前往 / 记录方向 / 继续当前目标,NPC；新节点；可能错过
W01_EVT_053,W01_N14,山地,远处烟柱·3,高处看到远方短暂烟柱。 这一次发生在「旧信号石堆」，环境和你之前见过的情况略有不同。,8,立刻前往 / 记录方向 / 继续当前目标,NPC；新节点；可能错过
W01_EVT_054,W01_N22,山地,远处烟柱·4,高处看到远方短暂烟柱。 这一次发生在「地下湖」，环境和你之前见过的情况略有不同。,10,立刻前往 / 记录方向 / 继续当前目标,NPC；新节点；可能错过
W01_EVT_055,W01_N30,山地,远处烟柱·5,高处看到远方短暂烟柱。 这一次发生在「废弃研究站外门」，环境和你之前见过的情况略有不同。,12,立刻前往 / 记录方向 / 继续当前目标,NPC；新节点；可能错过
W01_EVT_056,W01_N38,山地,远处烟柱·6,高处看到远方短暂烟柱。 这一次发生在「燃料储藏棚」，环境和你之前见过的情况略有不同。,2,立刻前往 / 记录方向 / 继续当前目标,NPC；新节点；可能错过
W01_EVT_057,W01_N46,山地,远处烟柱·7,高处看到远方短暂烟柱。 这一次发生在「临时救援标记」，环境和你之前见过的情况略有不同。,4,立刻前往 / 记录方向 / 继续当前目标,NPC；新节点；可能错过
W01_EVT_058,W01_N54,山地,远处烟柱·8,高处看到远方短暂烟柱。 这一次发生在「石门遗迹」，环境和你之前见过的情况略有不同。,6,立刻前往 / 记录方向 / 继续当前目标,NPC；新节点；可能错过
W01_EVT_059,W01_N02,山地,远处烟柱·9,高处看到远方短暂烟柱。 这一次发生在「浅滩」，环境和你之前见过的情况略有不同。,8,立刻前往 / 记录方向 / 继续当前目标,NPC；新节点；可能错过
W01_EVT_060,W01_N10,山地,远处烟柱·10,高处看到远方短暂烟柱。 这一次发生在「瀑布潭」，环境和你之前见过的情况略有不同。,10,立刻前往 / 记录方向 / 继续当前目标,NPC；新节点；可能错过
W01_EVT_061,W01_N08,沉船,密封舱·1,舱门被锈死。 这一次发生在「干涸溪床」，环境和你之前见过的情况略有不同。,2,强行撬开 / 寻找工具 / 放弃,高价值物资；受伤；路线物
W01_EVT_062,W01_N16,沉船,密封舱·2,舱门被锈死。 这一次发生在「沉船外滩」，环境和你之前见过的情况略有不同。,4,强行撬开 / 寻找工具 / 放弃,高价值物资；受伤；路线物
W01_EVT_063,W01_N24,沉船,密封舱·3,舱门被锈死。 这一次发生在「山顶平台」，环境和你之前见过的情况略有不同。,6,强行撬开 / 寻找工具 / 放弃,高价值物资；受伤；路线物
W01_EVT_064,W01_N32,沉船,密封舱·4,舱门被锈死。 这一次发生在「研究站实验室」，环境和你之前见过的情况略有不同。,8,强行撬开 / 寻找工具 / 放弃,高价值物资；受伤；路线物
W01_EVT_065,W01_N40,沉船,密封舱·5,舱门被锈死。 这一次发生在「东部礁湖」，环境和你之前见过的情况略有不同。,10,强行撬开 / 寻找工具 / 放弃,高价值物资；受伤；路线物
W01_EVT_066,W01_N48,沉船,密封舱·6,舱门被锈死。 这一次发生在「旧观测哨」，环境和你之前见过的情况略有不同。,12,强行撬开 / 寻找工具 / 放弃,高价值物资；受伤；路线物
W01_EVT_067,W01_N56,沉船,密封舱·7,舱门被锈死。 这一次发生在「紧急天线阵列」，环境和你之前见过的情况略有不同。,2,强行撬开 / 寻找工具 / 放弃,高价值物资；受伤；路线物
W01_EVT_068,W01_N04,沉船,密封舱·8,舱门被锈死。 这一次发生在「飞机尾翼区」，环境和你之前见过的情况略有不同。,4,强行撬开 / 寻找工具 / 放弃,高价值物资；受伤；路线物
W01_EVT_069,W01_N12,沉船,密封舱·9,舱门被锈死。 这一次发生在「断桥谷地」，环境和你之前见过的情况略有不同。,6,强行撬开 / 寻找工具 / 放弃,高价值物资；受伤；路线物
W01_EVT_070,W01_N20,沉船,密封舱·10,舱门被锈死。 这一次发生在「石灰岩洞」，环境和你之前见过的情况略有不同。,8,强行撬开 / 寻找工具 / 放弃,高价值物资；受伤；路线物
W01_EVT_071,W01_N18,研究站,终端残骸·1,旧终端仍有微弱指示灯。 这一次发生在「红树林」，环境和你之前见过的情况略有不同。,12,尝试供电 / 拆取零件 / 记录编号,日志；电线；秘密Flag
W01_EVT_072,W01_N26,研究站,终端残骸·2,旧终端仍有微弱指示灯。 这一次发生在「巨石阵地」，环境和你之前见过的情况略有不同。,2,尝试供电 / 拆取零件 / 记录编号,日志；电线；秘密Flag
W01_EVT_073,W01_N34,研究站,终端残骸·3,旧终端仍有微弱指示灯。 这一次发生在「地下通道入口」，环境和你之前见过的情况略有不同。,4,尝试供电 / 拆取零件 / 记录编号,日志；电线；秘密Flag
W01_EVT_074,W01_N42,研究站,终端残骸·4,旧终端仍有微弱指示灯。 这一次发生在「蛇谷」，环境和你之前见过的情况略有不同。,6,尝试供电 / 拆取零件 / 记录编号,日志；电线；秘密Flag
W01_EVT_075,W01_N50,研究站,终端残骸·5,旧终端仍有微弱指示灯。 这一次发生在「漂流箱聚集湾」，环境和你之前见过的情况略有不同。,8,尝试供电 / 拆取零件 / 记录编号,日志；电线；秘密Flag
W01_EVT_076,W01_N58,研究站,终端残骸·6,旧终端仍有微弱指示灯。 这一次发生在「海流观察点」，环境和你之前见过的情况略有不同。,10,尝试供电 / 拆取零件 / 记录编号,日志；电线；秘密Flag
W01_EVT_077,W01_N06,研究站,终端残骸·7,旧终端仍有微弱指示灯。 这一次发生在「潮汐洞口」，环境和你之前见过的情况略有不同。,12,尝试供电 / 拆取零件 / 记录编号,日志；电线；秘密Flag
W01_EVT_078,W01_N14,研究站,终端残骸·8,旧终端仍有微弱指示灯。 这一次发生在「旧信号石堆」，环境和你之前见过的情况略有不同。,2,尝试供电 / 拆取零件 / 记录编号,日志；电线；秘密Flag
W01_EVT_079,W01_N22,研究站,终端残骸·9,旧终端仍有微弱指示灯。 这一次发生在「地下湖」，环境和你之前见过的情况略有不同。,4,尝试供电 / 拆取零件 / 记录编号,日志；电线；秘密Flag
W01_EVT_080,W01_N30,研究站,终端残骸·10,旧终端仍有微弱指示灯。 这一次发生在「废弃研究站外门」，环境和你之前见过的情况略有不同。,6,尝试供电 / 拆取零件 / 记录编号,日志；电线；秘密Flag
W01_EVT_081,W01_N28,营地,夜间声音·1,夜里营地边缘传来动静。 这一次发生在「旧木屋」，环境和你之前见过的情况略有不同。,10,拿武器查看 / 保持安静 / 点大篝火,动物；NPC；精神
W01_EVT_082,W01_N36,营地,夜间声音·2,夜里营地边缘传来动静。 这一次发生在「旧码头」，环境和你之前见过的情况略有不同。,12,拿武器查看 / 保持安静 / 点大篝火,动物；NPC；精神
W01_EVT_083,W01_N44,营地,夜间声音·3,夜里营地边缘传来动静。 这一次发生在「石滩墓地」，环境和你之前见过的情况略有不同。,2,拿武器查看 / 保持安静 / 点大篝火,动物；NPC；精神
W01_EVT_084,W01_N52,营地,夜间声音·4,夜里营地边缘传来动静。 这一次发生在「废弃捕猎坑」，环境和你之前见过的情况略有不同。,4,拿武器查看 / 保持安静 / 点大篝火,动物；NPC；精神
W01_EVT_085,W01_N60,营地,夜间声音·5,夜里营地边缘传来动静。 这一次发生在「无灯灯塔」，环境和你之前见过的情况略有不同。,6,拿武器查看 / 保持安静 / 点大篝火,动物；NPC；精神
W01_EVT_086,W01_N08,营地,夜间声音·6,夜里营地边缘传来动静。 这一次发生在「干涸溪床」，环境和你之前见过的情况略有不同。,8,拿武器查看 / 保持安静 / 点大篝火,动物；NPC；精神
W01_EVT_087,W01_N16,营地,夜间声音·7,夜里营地边缘传来动静。 这一次发生在「沉船外滩」，环境和你之前见过的情况略有不同。,10,拿武器查看 / 保持安静 / 点大篝火,动物；NPC；精神
W01_EVT_088,W01_N24,营地,夜间声音·8,夜里营地边缘传来动静。 这一次发生在「山顶平台」，环境和你之前见过的情况略有不同。,12,拿武器查看 / 保持安静 / 点大篝火,动物；NPC；精神
W01_EVT_089,W01_N32,营地,夜间声音·9,夜里营地边缘传来动静。 这一次发生在「研究站实验室」，环境和你之前见过的情况略有不同。,2,拿武器查看 / 保持安静 / 点大篝火,动物；NPC；精神
W01_EVT_090,W01_N40,营地,夜间声音·10,夜里营地边缘传来动静。 这一次发生在「东部礁湖」，环境和你之前见过的情况略有不同。,4,拿武器查看 / 保持安静 / 点大篝火,动物；NPC；精神
W01_EVT_091,W01_N38,天气,暴雨前兆·1,云层迅速压低，风向改变。 这一次发生在「燃料储藏棚」，环境和你之前见过的情况略有不同。,8,返回营地 / 抢收资源 / 继续远行,天气准备；额外资源；高风险
W01_EVT_092,W01_N46,天气,暴雨前兆·2,云层迅速压低，风向改变。 这一次发生在「临时救援标记」，环境和你之前见过的情况略有不同。,10,返回营地 / 抢收资源 / 继续远行,天气准备；额外资源；高风险
W01_EVT_093,W01_N54,天气,暴雨前兆·3,云层迅速压低，风向改变。 这一次发生在「石门遗迹」，环境和你之前见过的情况略有不同。,12,返回营地 / 抢收资源 / 继续远行,天气准备；额外资源；高风险
W01_EVT_094,W01_N02,天气,暴雨前兆·4,云层迅速压低，风向改变。 这一次发生在「浅滩」，环境和你之前见过的情况略有不同。,2,返回营地 / 抢收资源 / 继续远行,天气准备；额外资源；高风险
W01_EVT_095,W01_N10,天气,暴雨前兆·5,云层迅速压低，风向改变。 这一次发生在「瀑布潭」，环境和你之前见过的情况略有不同。,4,返回营地 / 抢收资源 / 继续远行,天气准备；额外资源；高风险
W01_EVT_096,W01_N18,天气,暴雨前兆·6,云层迅速压低，风向改变。 这一次发生在「红树林」，环境和你之前见过的情况略有不同。,6,返回营地 / 抢收资源 / 继续远行,天气准备；额外资源；高风险
W01_EVT_097,W01_N26,天气,暴雨前兆·7,云层迅速压低，风向改变。 这一次发生在「巨石阵地」，环境和你之前见过的情况略有不同。,8,返回营地 / 抢收资源 / 继续远行,天气准备；额外资源；高风险
W01_EVT_098,W01_N34,天气,暴雨前兆·8,云层迅速压低，风向改变。 这一次发生在「地下通道入口」，环境和你之前见过的情况略有不同。,10,返回营地 / 抢收资源 / 继续远行,天气准备；额外资源；高风险
W01_EVT_099,W01_N42,天气,暴雨前兆·9,云层迅速压低，风向改变。 这一次发生在「蛇谷」，环境和你之前见过的情况略有不同。,12,返回营地 / 抢收资源 / 继续远行,天气准备；额外资源；高风险
W01_EVT_100,W01_N50,天气,暴雨前兆·10,云层迅速压低，风向改变。 这一次发生在「漂流箱聚集湾」，环境和你之前见过的情况略有不同。,2,返回营地 / 抢收资源 / 继续远行,天气准备；额外资源；高风险
W01_EVT_101,W01_N48,NPC,陌生幸存者·1,一个陌生人出现在路边。 这一次发生在「旧观测哨」，环境和你之前见过的情况略有不同。,6,提供水 / 保持距离 / 询问信息,信任；资源消耗；路线信息
W01_EVT_102,W01_N56,NPC,陌生幸存者·2,一个陌生人出现在路边。 这一次发生在「紧急天线阵列」，环境和你之前见过的情况略有不同。,8,提供水 / 保持距离 / 询问信息,信任；资源消耗；路线信息
W01_EVT_103,W01_N04,NPC,陌生幸存者·3,一个陌生人出现在路边。 这一次发生在「飞机尾翼区」，环境和你之前见过的情况略有不同。,10,提供水 / 保持距离 / 询问信息,信任；资源消耗；路线信息
W01_EVT_104,W01_N12,NPC,陌生幸存者·4,一个陌生人出现在路边。 这一次发生在「断桥谷地」，环境和你之前见过的情况略有不同。,12,提供水 / 保持距离 / 询问信息,信任；资源消耗；路线信息
W01_EVT_105,W01_N20,NPC,陌生幸存者·5,一个陌生人出现在路边。 这一次发生在「石灰岩洞」，环境和你之前见过的情况略有不同。,2,提供水 / 保持距离 / 询问信息,信任；资源消耗；路线信息
W01_EVT_106,W01_N28,NPC,陌生幸存者·6,一个陌生人出现在路边。 这一次发生在「旧木屋」，环境和你之前见过的情况略有不同。,4,提供水 / 保持距离 / 询问信息,信任；资源消耗；路线信息
W01_EVT_107,W01_N36,NPC,陌生幸存者·7,一个陌生人出现在路边。 这一次发生在「旧码头」，环境和你之前见过的情况略有不同。,6,提供水 / 保持距离 / 询问信息,信任；资源消耗；路线信息
W01_EVT_108,W01_N44,NPC,陌生幸存者·8,一个陌生人出现在路边。 这一次发生在「石滩墓地」，环境和你之前见过的情况略有不同。,8,提供水 / 保持距离 / 询问信息,信任；资源消耗；路线信息
W01_EVT_109,W01_N52,NPC,陌生幸存者·9,一个陌生人出现在路边。 这一次发生在「废弃捕猎坑」，环境和你之前见过的情况略有不同。,10,提供水 / 保持距离 / 询问信息,信任；资源消耗；路线信息
W01_EVT_110,W01_N60,NPC,陌生幸存者·10,一个陌生人出现在路边。 这一次发生在「无灯灯塔」，环境和你之前见过的情况略有不同。,12,提供水 / 保持距离 / 询问信息,信任；资源消耗；路线信息
W01_EVT_111,W01_N58,秘密,重复编号·1,你再次看到相同的编号。 这一次发生在「海流观察点」，环境和你之前见过的情况略有不同。,4,记录 / 寻找对应设施 / 忽略,秘密Flag；新事件链；无事
W01_EVT_112,W01_N06,秘密,重复编号·2,你再次看到相同的编号。 这一次发生在「潮汐洞口」，环境和你之前见过的情况略有不同。,6,记录 / 寻找对应设施 / 忽略,秘密Flag；新事件链；无事
W01_EVT_113,W01_N14,秘密,重复编号·3,你再次看到相同的编号。 这一次发生在「旧信号石堆」，环境和你之前见过的情况略有不同。,8,记录 / 寻找对应设施 / 忽略,秘密Flag；新事件链；无事
W01_EVT_114,W01_N22,秘密,重复编号·4,你再次看到相同的编号。 这一次发生在「地下湖」，环境和你之前见过的情况略有不同。,10,记录 / 寻找对应设施 / 忽略,秘密Flag；新事件链；无事
W01_EVT_115,W01_N30,秘密,重复编号·5,你再次看到相同的编号。 这一次发生在「废弃研究站外门」，环境和你之前见过的情况略有不同。,12,记录 / 寻找对应设施 / 忽略,秘密Flag；新事件链；无事
W01_EVT_116,W01_N38,秘密,重复编号·6,你再次看到相同的编号。 这一次发生在「燃料储藏棚」，环境和你之前见过的情况略有不同。,2,记录 / 寻找对应设施 / 忽略,秘密Flag；新事件链；无事
W01_EVT_117,W01_N46,秘密,重复编号·7,你再次看到相同的编号。 这一次发生在「临时救援标记」，环境和你之前见过的情况略有不同。,4,记录 / 寻找对应设施 / 忽略,秘密Flag；新事件链；无事
W01_EVT_118,W01_N54,秘密,重复编号·8,你再次看到相同的编号。 这一次发生在「石门遗迹」，环境和你之前见过的情况略有不同。,6,记录 / 寻找对应设施 / 忽略,秘密Flag；新事件链；无事
W01_EVT_119,W01_N02,秘密,重复编号·9,你再次看到相同的编号。 这一次发生在「浅滩」，环境和你之前见过的情况略有不同。,8,记录 / 寻找对应设施 / 忽略,秘密Flag；新事件链；无事
W01_EVT_120,W01_N10,秘密,重复编号·10,你再次看到相同的编号。 这一次发生在「瀑布潭」，环境和你之前见过的情况略有不同。,10,记录 / 寻找对应设施 / 忽略,秘密Flag；新事件链；无事
